,code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
23,CHI001,360205.0,บ้านเขว้า,15.9331,101.69954,36.0,ภูแลนคา,บ้านเขว้า,ชัยภูมิ,แม่น้ำชี,Chi 1,Phu Lan Ka,Ban Khwao,Chaiyaphum,0.0,W,210.024,208.523,199.52,
24,CHI002,360801.0,หนองบัวระเหว,15.77047,101.81252,36.0,หนองบัวระเหว,หนองบัวระเหว,ชัยภูมิ,แม่น้ำชี,Chi 2,Nong Bua Rawe,Nong Bua Rawe,Chaiyaphum,0.0,W,194.221,193.789,185.68,198.0
25,CHI003,360105.0,เมืองชัยภูมิ,15.68159,102.00953,36.0,บ้านค่าย,เมืองชัยภูมิ,ชัยภูมิ,แม่น้ำชี,Chi 3,Ban Khai,Mueang Chaiyaphum,Chaiyaphum,0.0,W,183.769,184.331,176.74,
26,CHI004,302301.0,แก้งสนามนาง,15.75297,102.25305,30.0,แก้งสนามนาง,แก้งสนามนาง,นครราชสีมา,แม่น้ำชี,Chi 4,Kaeng Sanam Nang,Kaeng Sanam Nang,Nakhon Ratchasima,0.0,W,175.937,175.683,163.44,
27,CHI005,401801.0,ชนบท,16.09691,102.56998,40.0,ชนบท,ชนบท,ขอนแก่น,แม่น้ำชี,Chi 5,Chonnabot,Chonnabot,Khon Kaen,0.0,W,158.412,158.754,145.05,
28,CHI006,400104.0,สะพานท่าพระ,16.32589,102.78593,40.0,ท่าพระ,เมืองขอนแก่น,ขอนแก่น,แม่น้ำชี,Chi 6,Tha Phra,Mueang Khon Kaen,Khon Kaen,0.0,W,153.212,153.812,143.81,
29,CHI007,440301.0,โกสุมพิสัย,16.25108,103.07407,44.0,หัวขวาง,โกสุมพิสัย,มหาสารคาม,แม่น้ำชี,Chi 7,Hua Khwang,Kosum Phisai,Maha Sarakham,0.0,W,148.024,149.433,133.64,
30,CHI009,451017.0,เสลภูมิ,16.0342,103.90716,45.0,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,แม่น้ำชี,Chi 9,Khwan Meuang,Selaphum,Roi Et,0.0,W,129.48,129.278,116.83,
31,CHI010,350601.0,มหาชนะชัย,15.52483,104.24972,35.0,ฟ้าหยาด,มหาชนะชัย,ยโสธร,แม่น้ำชี,Chi 10,Fa Yad,Maha Chana Chai,Yasothon,0.0,W,121.98,121.98,109.665,
32,CHI011,340401.0,เขื่องใน,15.32273,104.5465,34.0,เขื่องใน,เขื่องใน,อุบลราชธานี,แม่น้ำชี,Chi 11,Khueang Nai,Khueang Nai,Ubon Ratchathani,0.0,W,116.881,116.339,105.23,
33,CHI012,440107.0,เมืองมหาสารคาม,16.23234,103.27104,44.0,เกิ้ง,เมืองมหาสารคาม,มหาสารคาม,แม่น้ำชี,Mueang Maha Sarakham,Koeng,Mueang Maha Sarakham,Maha Sarakham,0.0,W,124.8,124.57,108.285,
34,CHI013,460709.0,ยางตลาด,16.41118,103.46714,46.0,ดอนสมบูรณ์,ยางตลาด,กาฬสินธุ์,แม่น้ำชี,Yang Talad,Don Sombun,Yang Talat,Kalasin,0.0,W,123.99,125.17,115.6,
35,CHI014,350107.0,เมืองยโสธร,15.96448,104.0153,35.0,เดิด,เมืองยโสธร,ยโสธร,แม่น้ำชี,Chi 14,Doed,Mueang Yasothon,Yasothon,0.0,W,128.0,128.0,120.0,
36,CHI015,400116.0,เมืองขอนแก่น,16.5289,102.90582,40.0,หนองตูม,เมืองขอนแก่น,ขอนแก่น,แม่น้ำชี,Mueang Khon Kaen,Nong Tum,Mueang Khon Kaen,Khon Kaen,0.0,W,132.475,133.253,121.85,
37,CHM001,501409.0,สันทราย,19.00986,98.95976,50.0,แม่แฝก,สันทราย,เชียงใหม่,แม่น้ำปิง,Chiang Mai 1,Mae Faek,San Sai,Chiang Mai,0.0,W,323.263,322.99,312.303,
38,CHM002,501601.0,ฮอด,18.1785,98.6303,50.0,หางดง,ฮอด,เชียงใหม่,แม่น้ำปิง,Chiang Mai 2,Hang Dong,Hot,Chiang Mai,0.0,W,297.439,298.077,290.7,
